SYMBOL ENSEMBL HOCOID
AHR ENSG00000106546 AHR.0.B
AIRE ENSG00000160224 AIRE.0.C
ALX1 ENSG00000180318 ALX1.0.B
ALX3 ENSG00000156150 ALX3.0.D
ALX4 ENSG00000052850 ALX4.0.D
AR ENSG00000169083 ANDR.0.A
AR ENSG00000169083 ANDR.1.A
AR ENSG00000169083 ANDR.2.A
ARID3A ENSG00000116017 ARI3A.0.D
ARID5B ENSG00000150347 ARI5B.0.C
ARNT ENSG00000143437 ARNT.0.B
ARNT2 ENSG00000172379 ARNT2.0.D
ARNTL ENSG00000133794 BMAL1.0.A
ARX ENSG00000004848 ARX.0.D
ASCL1 ENSG00000139352 ASCL1.0.A
ASCL2 ENSG00000183734 ASCL2.0.D
ATF1 ENSG00000123268 ATF1.0.B
ATF2 ENSG00000115966 ATF2.0.B
ATF2 ENSG00000115966 ATF2.1.B
ATF2 ENSG00000115966 ATF2.2.C
ATF3 ENSG00000162772 ATF3.0.A
ATF4 ENSG00000128272 ATF4.0.A
ATF6 ENSG00000118217 ATF6A.0.B
ATF7 ENSG00000170653 ATF7.0.D
ATOH1 ENSG00000172238 ATOH1.0.B
BACH1 ENSG00000156273 BACH1.0.A
BACH2 ENSG00000112182 BACH2.0.A
BARHL1 ENSG00000125492 BARH1.0.D
BARHL2 ENSG00000143032 BARH2.0.D
BARX1 ENSG00000131668 BARX1.0.D
BARX2 ENSG00000043039 BARX2.0.D
BATF ENSG00000156127 BATF.0.A
BATF ENSG00000156127 BATF.1.A
BATF3 ENSG00000123685 BATF3.0.B
BCL11A ENSG00000119866 BC11A.0.A
BCL6 ENSG00000113916 BCL6.0.A
BCL6B ENSG00000161940 BCL6B.0.D
BHLHA15 ENSG00000180535 BHA15.0.B
BHLHE22 ENSG00000180828 BHE22.0.D
BHLHE23 ENSG00000125533 BHE23.0.D
BHLHE40 ENSG00000134107 BHE40.0.A
BHLHE41 ENSG00000123095 BHE41.0.D
BPTF ENSG00000171634 BPTF.0.D
BRCA1 ENSG00000012048 BRCA1.0.D
BSX ENSG00000188909 BSH.0.D
CBFB ENSG00000067955 PEBB.0.C
CDC5L ENSG00000096401 CDC5L.0.D
CDX1 ENSG00000113722 CDX1.0.C
CDX2 ENSG00000165556 CDX2.0.A
CEBPA ENSG00000245848 CEBPA.0.A
CEBPB ENSG00000172216 CEBPB.0.A
CEBPD ENSG00000221869 CEBPD.0.C
CEBPE ENSG00000092067 CEBPE.0.A
CEBPG ENSG00000153879 CEBPG.0.B
CEBPZ ENSG00000115816 CEBPZ.0.D
CENPB ENSG00000125817 CENPB.0.D
CLOCK ENSG00000134852 CLOCK.0.C
CPEB1 ENSG00000214575 CPEB1.0.D
CREB1 ENSG00000118260 CREB1.0.A
CREB3 ENSG00000107175 CREB3.0.D
CREB3L1 ENSG00000157613 CR3L1.0.D
CREB3L2 ENSG00000182158 CR3L2.0.D
CREB5 ENSG00000146592 CREB5.0.D
CREM ENSG00000095794 CREM.0.C
CRX ENSG00000105392 CRX.0.B
CTCF ENSG00000102974 CTCF.0.A
CTCFL ENSG00000124092 CTCFL.0.A
CUX1 ENSG00000257923 CUX1.0.C
CUX2 ENSG00000111249 CUX2.0.D
CXXC1 ENSG00000154832 CXXC1.0.D
DBP ENSG00000105516 DBP.0.B
DDIT3 ENSG00000175197 DDIT3.0.D
DLX1 ENSG00000144355 DLX1.0.D
DLX2 ENSG00000115844 DLX2.0.D
DLX3 ENSG00000064195 DLX3.0.C
